"input_type","input_name","output_type","output_name","value"
"industry","01_Agriculture,forestry and fishery","industry","10_Information and communication",0
"industry","02_Mining","industry","10_Information and communication",0
"industry","03_Manufacturing","industry","10_Information and communication",2300817000000
"industry","04_Construction","industry","10_Information and communication",322764000000
"industry","05_Electricity,gas and water supply","industry","10_Information and communication",399010000000
"industry","06_Commerce","industry","10_Information and communication",674557000000
"industry","07_Finance and insurance","industry","10_Information and communication",219677000000
"industry","08_Real estate","industry","10_Information and communication",1214661000000
"industry","09_Transport and postal services","industry","10_Information and communication",1166073000000
"industry","10_Information and communication","industry","10_Information and communication",7022394000000
"industry","11_Public administration","industry","10_Information and communication",0
"industry","12_Services","industry","10_Information and communication",8276338000000
"industry","13_Activities not elsewhere classified","industry","10_Information and communication",303169000000
"valueadded","71_Consumption expenditure outside households (row)","industry","10_Information and communication",861457000000
"valueadded","91_Compensation of employees","industry","10_Information and communication",10647999000000
"valueadded","92_Operating surplus","industry","10_Information and communication",7885435000000
"valueadded","93_Consumption of fixed capital","industry","10_Information and communication",3978577000000
"valueadded","94_Indirect taxes","industry","10_Information and communication",889480000000
"valueadded","95_(less) Current subsidies","industry","10_Information and communication",-2151000000
"industry","01_Agriculture,forestry and fishery","industry","11_Public administration",1760000000
"industry","02_Mining","industry","11_Public administration",288000000
"industry","03_Manufacturing","industry","11_Public administration",2621807000000
"industry","04_Construction","industry","11_Public administration",810258000000
"industry","05_Electricity,gas and water supply","industry","11_Public administration",538470000000
"industry","06_Commerce","industry","11_Public administration",507162000000
"industry","07_Finance and insurance","industry","11_Public administration",1629212000000
"industry","08_Real estate","industry","11_Public administration",61246000000
"industry","09_Transport and postal services","industry","11_Public administration",1358991000000
"industry","10_Information and communication","industry","11_Public administration",1045584000000
"industry","11_Public administration","industry","11_Public administration",0
"industry","12_Services","industry","11_Public administration",3864610000000
"industry","13_Activities not elsewhere classified","industry","11_Public administration",33894000000
"valueadded","71_Consumption expenditure outside households (row)","industry","11_Public administration",397062000000
"valueadded","91_Compensation of employees","industry","11_Public administration",14501379000000
"valueadded","92_Operating surplus","industry","11_Public administration",0
"valueadded","93_Consumption of fixed capital","industry","11_Public administration",11910957000000
"valueadded","94_Indirect taxes","industry","11_Public administration",122514000000
"valueadded","95_(less) Current subsidies","industry","11_Public administration",0
"industry","01_Agriculture,forestry and fishery","industry","12_Services",1360935000000
"industry","02_Mining","industry","12_Services",1153000000
"industry","03_Manufacturing","industry","12_Services",28693206000000
"industry","04_Construction","industry","12_Services",1293478000000
"industry","05_Electricity,gas and water supply","industry","12_Services",4649129000000
"industry","06_Commerce","industry","12_Services",9410434000000
"industry","07_Finance and insurance","industry","12_Services",1858021000000
"industry","08_Real estate","industry","12_Services",2961078000000
"industry","09_Transport and postal services","industry","12_Services",4930376000000
"industry","10_Information and communication","industry","12_Services",7819100000000
"industry","11_Public administration","industry","12_Services",0
"industry","12_Services","industry","12_Services",21267108000000
"industry","13_Activities not elsewhere classified","industry","12_Services",1279852000000
"valueadded","71_Consumption expenditure outside households (row)","industry","12_Services",3493024000000
"valueadded","91_Compensation of employees","industry","12_Services",92516553000000
"valueadded","92_Operating surplus","industry","12_Services",13887143000000
"valueadded","93_Consumption of fixed capital","industry","12_Services",21802522000000
"valueadded","94_Indirect taxes","industry","12_Services",6714170000000
"valueadded","95_(less) Current subsidies","industry","12_Services",-979051000000
"industry","01_Agriculture,forestry and fishery","industry","13_Activities not elsewhere classified",0
"industry","02_Mining","industry","13_Activities not elsewhere classified",455000000
"industry","03_Manufacturing","industry","13_Activities not elsewhere classified",454846000000
"industry","04_Construction","industry","13_Activities not elsewhere classified",0
"industry","05_Electricity,gas and water supply","industry","13_Activities not elsewhere classified",64923000000
"industry","06_Commerce","industry","13_Activities not elsewhere classified",76141000000
"industry","07_Finance and insurance","industry","13_Activities not elsewhere classified",24138000000
"industry","08_Real estate","industry","13_Activities not elsewhere classified",195260000000
"industry","09_Transport and postal services","industry","13_Activities not elsewhere classified",397540000000
"industry","10_Information and communication","industry","13_Activities not elsewhere classified",212206000000
"industry","11_Public administration","industry","13_Activities not elsewhere classified",1136566000000
"industry","12_Services","industry","13_Activities not elsewhere classified",449453000000
"industry","13_Activities not elsewhere classified","industry","13_Activities not elsewhere classified",0
"valueadded","71_Consumption expenditure outside households (row)","industry","13_Activities not elsewhere classified",16349000000
"valueadded","91_Compensation of employees","industry","13_Activities not elsewhere classified",178736000000
"valueadded","92_Operating surplus","industry","13_Activities not elsewhere classified",1482179000000
"valueadded","93_Consumption of fixed capital","industry","13_Activities not elsewhere classified",275048000000
"valueadded","94_Indirect taxes","industry","13_Activities not elsewhere classified",46459000000
"valueadded","95_(less) Current subsidies","industry","13_Activities not elsewhere classified",-24000000
"industry","01_Agriculture,forestry and fishery","finaldemand","71_Consumption expenditure outside households (column)",63419000000
"industry","02_Mining","finaldemand","71_Consumption expenditure outside households (column)",-5385000000
"industry","03_Manufacturing","finaldemand","71_Consumption expenditure outside households (column)",1639119000000
"industry","04_Construction","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","05_Electricity,gas and water supply","finaldemand","71_Consumption expenditure outside households (column)",7892000000
"industry","06_Commerce","finaldemand","71_Consumption expenditure outside households (column)",1552393000000
"industry","07_Finance and insurance","finaldemand","71_Consumption expenditure outside households (column)",170000000
"industry","08_Real estate","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","09_Transport and postal services","finaldemand","71_Consumption expenditure outside households (column)",399245000000
"industry","10_Information and communication","finaldemand","71_Consumption expenditure outside households (column)",161417000000
"industry","11_Public administration","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","12_Services","finaldemand","71_Consumption expenditure outside households (column)",9815026000000
"industry","13_Activities not elsewhere classified","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","01_Agriculture,forestry and fishery","finaldemand","72_Consumption expenditure (private)",3389053000000
"industry","02_Mining","finaldemand","72_Consumption expenditure (private)",-6104000000
"industry","03_Manufacturing","finaldemand","72_Consumption expenditure (private)",55177632000000
"industry","04_Construction","finaldemand","72_Consumption expenditure (private)",0
"industry","05_Electricity,gas and water supply","finaldemand","72_Consumption expenditure (private)",8201914000000
"industry","06_Commerce","finaldemand","72_Consumption expenditure (private)",43597219000000
"industry","07_Finance and insurance","finaldemand","72_Consumption expenditure (private)",15558156000000
"industry","08_Real estate","finaldemand","72_Consumption expenditure (private)",59204489000000
"industry","09_Transport and postal services","finaldemand","72_Consumption expenditure (private)",13784850000000
"industry","10_Information and communication","finaldemand","72_Consumption expenditure (private)",12722940000000
"industry","11_Public administration","finaldemand","72_Consumption expenditure (private)",1115155000000
"industry","12_Services","finaldemand","72_Consumption expenditure (private)",70057277000000
"industry","13_Activities not elsewhere classified","finaldemand","72_Consumption expenditure (private)",18864000000
"industry","01_Agriculture,forestry and fishery","finaldemand","73_Consumption expenditure of general government",0
"industry","02_Mining","finaldemand","73_Consumption expenditure of general government",0
"industry","03_Manufacturing","finaldemand","73_Consumption expenditure of general government",242889000000
"industry","04_Construction","finaldemand","73_Consumption expenditure of general government",0
"industry","05_Electricity,gas and water supply","finaldemand","73_Consumption expenditure of general government",-261415000000
"industry","06_Commerce","finaldemand","73_Consumption expenditure of general government",9758000000
"industry","07_Finance and insurance","finaldemand","73_Consumption expenditure of general government",0
"industry","08_Real estate","finaldemand","73_Consumption expenditure of general government",61313000000
"industry","09_Transport and postal services","finaldemand","73_Consumption expenditure of general government",-53198000000
"industry","10_Information and communication","finaldemand","73_Consumption expenditure of general government",35795000000
"industry","11_Public administration","finaldemand","73_Consumption expenditure of general government",37153473000000
"industry","12_Services","finaldemand","73_Consumption expenditure of general government",61547852000000
"industry","13_Activities not elsewhere classified","finaldemand","73_Consumption expenditure of general government",0
"industry","01_Agriculture,forestry and fishery","finaldemand","74_Gross domestic fixed capital formation",168260000000
"industry","02_Mining","finaldemand","74_Gross domestic fixed capital formation",-6977000000
"industry","03_Manufacturing","finaldemand","74_Gross domestic fixed capital formation",31026686000000
"industry","04_Construction","finaldemand","74_Gross domestic fixed capital formation",42741258000000
"industry","05_Electricity,gas and water supply","finaldemand","74_Gross domestic fixed capital formation",0
"industry","06_Commerce","finaldemand","74_Gross domestic fixed capital formation",6388151000000
"industry","07_Finance and insurance","finaldemand","74_Gross domestic fixed capital formation",0
"industry","08_Real estate","finaldemand","74_Gross domestic fixed capital formation",0
"industry","09_Transport and postal services","finaldemand","74_Gross domestic fixed capital formation",661230000000
"industry","10_Information and communication","finaldemand","74_Gross domestic fixed capital formation",8217008000000
"industry","11_Public administration","finaldemand","74_Gross domestic fixed capital formation",0
"industry","12_Services","finaldemand","74_Gross domestic fixed capital formation",2188790000000
"industry","13_Activities not elsewhere classified","finaldemand","74_Gross domestic fixed capital formation",0
"industry","01_Agriculture,forestry and fishery","finaldemand","76_Increase in stocks",246810000000
"industry","02_Mining","finaldemand","76_Increase in stocks",-42044000000
"industry","03_Manufacturing","finaldemand","76_Increase in stocks",598327000000
"industry","04_Construction","finaldemand","76_Increase in stocks",0
"industry","05_Electricity,gas and water supply","finaldemand","76_Increase in stocks",0
"industry","06_Commerce","finaldemand","76_Increase in stocks",150652000000
"industry","07_Finance and insurance","finaldemand","76_Increase in stocks",0
"industry","08_Real estate","finaldemand","76_Increase in stocks",0
"industry","09_Transport and postal services","finaldemand","76_Increase in stocks",37890000000
"industry","10_Information and communication","finaldemand","76_Increase in stocks",-11809000000
"industry","11_Public administration","finaldemand","76_Increase in stocks",0
"industry","12_Services","finaldemand","76_Increase in stocks",0
"industry","13_Activities not elsewhere classified","finaldemand","76_Increase in stocks",0
"industry","01_Agriculture,forestry and fishery","finaldemand","77_Balancing sector",2333000000
"industry","02_Mining","finaldemand","77_Balancing sector",1735000000
"industry","03_Manufacturing","finaldemand","77_Balancing sector",1557187000000
"industry","04_Construction","finaldemand","77_Balancing sector",0
"industry","05_Electricity,gas and water supply","finaldemand","77_Balancing sector",0
"industry","06_Commerce","finaldemand","77_Balancing sector",0
"industry","07_Finance and insurance","finaldemand","77_Balancing sector",0
"industry","08_Real estate","finaldemand","77_Balancing sector",0
"industry","09_Transport and postal services","finaldemand","77_Balancing sector",0
"industry","10_Information and communication","finaldemand","77_Balancing sector",724000000
"industry","11_Public administration","finaldemand","77_Balancing sector",0
"industry","12_Services","finaldemand","77_Balancing sector",1334000000
"industry","13_Activities not elsewhere classified","finaldemand","77_Balancing sector",0
"industry","01_Agriculture,forestry and fishery","export","81_Exports total",47890000000
"industry","02_Mining","export","81_Exports total",35575000000
"industry","03_Manufacturing","export","81_Exports total",54437698000000
"industry","04_Construction","export","81_Exports total",0
"industry","05_Electricity,gas and water supply","export","81_Exports total",35308000000
"industry","06_Commerce","export","81_Exports total",7591509000000
"industry","07_Finance and insurance","export","81_Exports total",838222000000
"industry","08_Real estate","export","81_Exports total",21813000000
"industry","09_Transport and postal services","export","81_Exports total",5759487000000
"industry","10_Information and communication","export","81_Exports total",289726000000
"industry","11_Public administration","export","81_Exports total",0
"industry","12_Services","export","81_Exports total",1883659000000
"industry","13_Activities not elsewhere classified","export","81_Exports total",3693000000
"industry","01_Agriculture,forestry and fishery","import","84_(less) Imports",-2403086000000
"industry","02_Mining","import","84_(less) Imports",-21672797000000
"industry","03_Manufacturing","import","84_(less) Imports",-44158980000000
"industry","04_Construction","import","84_(less) Imports",0
"industry","05_Electricity,gas and water supply","import","84_(less) Imports",-2129000000
"industry","06_Commerce","import","84_(less) Imports",-988900000000
"industry","07_Finance and insurance","import","84_(less) Imports",-906647000000
"industry","08_Real estate","import","84_(less) Imports",-1666000000
"industry","09_Transport and postal services","import","84_(less) Imports",-3462459000000
"industry","10_Information and communication","import","84_(less) Imports",-713235000000
"industry","11_Public administration","import","84_(less) Imports",0
"industry","12_Services","import","84_(less) Imports",-2804935000000
"industry","13_Activities not elsewhere classified","import","84_(less) Imports",-39537000000
"industry","01_Agriculture,forestry and fishery","import","85_(less) Custom duties",-37758000000
"industry","02_Mining","import","85_(less) Custom duties",-7000000
"industry","03_Manufacturing","import","85_(less) Custom duties",-794936000000
"industry","04_Construction","import","85_(less) Custom duties",0
"industry","05_Electricity,gas and water supply","import","85_(less) Custom duties",0
"industry","06_Commerce","import","85_(less) Custom duties",0
"industry","07_Finance and insurance","import","85_(less) Custom duties",0
"industry","08_Real estate","import","85_(less) Custom duties",0
"industry","09_Transport and postal services","import","85_(less) Custom duties",0
"industry","10_Information and communication","import","85_(less) Custom duties",0
"industry","11_Public administration","import","85_(less) Custom duties",0
"industry","12_Services","import","85_(less) Custom duties",0
"industry","13_Activities not elsewhere classified","import","85_(less) Custom duties",0
"industry","01_Agriculture,forestry and fishery","import","86_(less) Commodity taxes on imported goods",-121965000000
"industry","02_Mining","import","86_(less) Commodity taxes on imported goods",-1636792000000
"industry","03_Manufacturing","import","86_(less) Commodity taxes on imported goods",-3410203000000
"industry","04_Construction","import","86_(less) Commodity taxes on imported goods",0
"industry","05_Electricity,gas and water supply","import","86_(less) Commodity taxes on imported goods",0
"industry","06_Commerce","import","86_(less) Commodity taxes on imported goods",0
"industry","07_Finance and insurance","import","86_(less) Commodity taxes on imported goods",0
"industry","08_Real estate","import","86_(less) Commodity taxes on imported goods",0
"industry","09_Transport and postal services","import","86_(less) Commodity taxes on imported goods",0
"industry","10_Information and communication","import","86_(less) Commodity taxes on imported goods",-1921000000
"industry","11_Public administration","import","86_(less) Commodity taxes on imported goods",0
"industry","12_Services","import","86_(less) Commodity taxes on imported goods",-124000000
"industry","13_Activities not elsewhere classified","import","86_(less) Commodity taxes on imported goods",0
