"input_type","input_name","output_type","output_name","value_M"
"industry","01_Agriculture,forestry and fishery","industry","08_Real estate",176
"industry","02_Mining","industry","08_Real estate",0
"industry","03_Manufacturing","industry","08_Real estate",195671
"industry","04_Construction","industry","08_Real estate",3155658
"industry","05_Electricity,gas and water supply","industry","08_Real estate",420750
"industry","06_Commerce","industry","08_Real estate",113882
"industry","07_Finance and insurance","industry","08_Real estate",5383055
"industry","08_Real estate","industry","08_Real estate",1561970
"industry","09_Transport and postal services","industry","08_Real estate",175934
"industry","10_Information and communication","industry","08_Real estate",287010
"industry","11_Public administration","industry","08_Real estate",0
"industry","12_Services","industry","08_Real estate",2168719
"industry","13_Activities not elsewhere classified","industry","08_Real estate",344572
"valueadded","71_Consumption expenditure outside households (row)","industry","08_Real estate",272111
"valueadded","91_Compensation of employees","industry","08_Real estate",3947853
"valueadded","92_Operating surplus","industry","08_Real estate",29708221
"valueadded","93_Consumption of fixed capital","industry","08_Real estate",19495249
"valueadded","94_Indirect taxes","industry","08_Real estate",3998108
"valueadded","95_(less) Current subsidies","industry","08_Real estate",-41406
"industry","01_Agriculture,forestry and fishery","industry","09_Transport and postal services",2137
"industry","02_Mining","industry","09_Transport and postal services",114
"industry","03_Manufacturing","industry","09_Transport and postal services",7050143
"industry","04_Construction","industry","09_Transport and postal services",686950
"industry","05_Electricity,gas and water supply","industry","09_Transport and postal services",676682
"industry","06_Commerce","industry","09_Transport and postal services",1325358
"industry","07_Finance and insurance","industry","09_Transport and postal services",995808
"industry","08_Real estate","industry","09_Transport and postal services",1016734
"industry","09_Transport and postal services","industry","09_Transport and postal services",5126066
"industry","10_Information and communication","industry","09_Transport and postal services",542574
"industry","11_Public administration","industry","09_Transport and postal services",0
"industry","12_Services","industry","09_Transport and postal services",6185168
"industry","13_Activities not elsewhere classified","industry","09_Transport and postal services",373710
"valueadded","71_Consumption expenditure outside households (row)","industry","09_Transport and postal services",823768
"valueadded","91_Compensation of employees","industry","09_Transport and postal services",14100784
"valueadded","92_Operating surplus","industry","09_Transport and postal services",2228570
"valueadded","93_Consumption of fixed capital","industry","09_Transport and postal services",5328246
"valueadded","94_Indirect taxes","industry","09_Transport and postal services",1996355
"valueadded","95_(less) Current subsidies","industry","09_Transport and postal services",-225133
"industry","01_Agriculture,forestry and fishery","industry","10_Information and communication",0
"industry","02_Mining","industry","10_Information and communication",0
"industry","03_Manufacturing","industry","10_Information and communication",2300817
"industry","04_Construction","industry","10_Information and communication",322764
"industry","05_Electricity,gas and water supply","industry","10_Information and communication",399010
"industry","06_Commerce","industry","10_Information and communication",674557
"industry","07_Finance and insurance","industry","10_Information and communication",219677
"industry","08_Real estate","industry","10_Information and communication",1214661
"industry","09_Transport and postal services","industry","10_Information and communication",1166073
"industry","10_Information and communication","industry","10_Information and communication",7022394
"industry","11_Public administration","industry","10_Information and communication",0
"industry","12_Services","industry","10_Information and communication",8276338
"industry","13_Activities not elsewhere classified","industry","10_Information and communication",303169
"valueadded","71_Consumption expenditure outside households (row)","industry","10_Information and communication",861457
"valueadded","91_Compensation of employees","industry","10_Information and communication",10647999
"valueadded","92_Operating surplus","industry","10_Information and communication",7885435
"valueadded","93_Consumption of fixed capital","industry","10_Information and communication",3978577
"valueadded","94_Indirect taxes","industry","10_Information and communication",889480
"valueadded","95_(less) Current subsidies","industry","10_Information and communication",-2151
"industry","01_Agriculture,forestry and fishery","industry","11_Public administration",1760
"industry","02_Mining","industry","11_Public administration",288
"industry","03_Manufacturing","industry","11_Public administration",2621807
"industry","04_Construction","industry","11_Public administration",810258
"industry","05_Electricity,gas and water supply","industry","11_Public administration",538470
"industry","06_Commerce","industry","11_Public administration",507162
"industry","07_Finance and insurance","industry","11_Public administration",1629212
"industry","08_Real estate","industry","11_Public administration",61246
"industry","09_Transport and postal services","industry","11_Public administration",1358991
"industry","10_Information and communication","industry","11_Public administration",1045584
"industry","11_Public administration","industry","11_Public administration",0
"industry","12_Services","industry","11_Public administration",3864610
"industry","13_Activities not elsewhere classified","industry","11_Public administration",33894
"valueadded","71_Consumption expenditure outside households (row)","industry","11_Public administration",397062
"valueadded","91_Compensation of employees","industry","11_Public administration",14501379
"valueadded","92_Operating surplus","industry","11_Public administration",0
"valueadded","93_Consumption of fixed capital","industry","11_Public administration",11910957
"valueadded","94_Indirect taxes","industry","11_Public administration",122514
"valueadded","95_(less) Current subsidies","industry","11_Public administration",0
"industry","01_Agriculture,forestry and fishery","industry","12_Services",1360935
"industry","02_Mining","industry","12_Services",1153
"industry","03_Manufacturing","industry","12_Services",28693206
"industry","04_Construction","industry","12_Services",1293478
"industry","05_Electricity,gas and water supply","industry","12_Services",4649129
"industry","06_Commerce","industry","12_Services",9410434
"industry","07_Finance and insurance","industry","12_Services",1858021
"industry","08_Real estate","industry","12_Services",2961078
"industry","09_Transport and postal services","industry","12_Services",4930376
"industry","10_Information and communication","industry","12_Services",7819100
"industry","11_Public administration","industry","12_Services",0
"industry","12_Services","industry","12_Services",21267108
"industry","13_Activities not elsewhere classified","industry","12_Services",1279852
"valueadded","71_Consumption expenditure outside households (row)","industry","12_Services",3493024
"valueadded","91_Compensation of employees","industry","12_Services",92516553
"valueadded","92_Operating surplus","industry","12_Services",13887143
"valueadded","93_Consumption of fixed capital","industry","12_Services",21802522
"valueadded","94_Indirect taxes","industry","12_Services",6714170
"valueadded","95_(less) Current subsidies","industry","12_Services",-979051
"industry","01_Agriculture,forestry and fishery","industry","13_Activities not elsewhere classified",0
"industry","02_Mining","industry","13_Activities not elsewhere classified",455
"industry","03_Manufacturing","industry","13_Activities not elsewhere classified",454846
"industry","04_Construction","industry","13_Activities not elsewhere classified",0
"industry","05_Electricity,gas and water supply","industry","13_Activities not elsewhere classified",64923
"industry","06_Commerce","industry","13_Activities not elsewhere classified",76141
"industry","07_Finance and insurance","industry","13_Activities not elsewhere classified",24138
"industry","08_Real estate","industry","13_Activities not elsewhere classified",195260
"industry","09_Transport and postal services","industry","13_Activities not elsewhere classified",397540
"industry","10_Information and communication","industry","13_Activities not elsewhere classified",212206
"industry","11_Public administration","industry","13_Activities not elsewhere classified",1136566
"industry","12_Services","industry","13_Activities not elsewhere classified",449453
"industry","13_Activities not elsewhere classified","industry","13_Activities not elsewhere classified",0
"valueadded","71_Consumption expenditure outside households (row)","industry","13_Activities not elsewhere classified",16349
"valueadded","91_Compensation of employees","industry","13_Activities not elsewhere classified",178736
"valueadded","92_Operating surplus","industry","13_Activities not elsewhere classified",1482179
"valueadded","93_Consumption of fixed capital","industry","13_Activities not elsewhere classified",275048
"valueadded","94_Indirect taxes","industry","13_Activities not elsewhere classified",46459
"valueadded","95_(less) Current subsidies","industry","13_Activities not elsewhere classified",-24
"industry","01_Agriculture,forestry and fishery","finaldemand","71_Consumption expenditure outside households (column)",63419
"industry","02_Mining","finaldemand","71_Consumption expenditure outside households (column)",-5385
"industry","03_Manufacturing","finaldemand","71_Consumption expenditure outside households (column)",1639119
"industry","04_Construction","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","05_Electricity,gas and water supply","finaldemand","71_Consumption expenditure outside households (column)",7892
"industry","06_Commerce","finaldemand","71_Consumption expenditure outside households (column)",1552393
"industry","07_Finance and insurance","finaldemand","71_Consumption expenditure outside households (column)",170
"industry","08_Real estate","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","09_Transport and postal services","finaldemand","71_Consumption expenditure outside households (column)",399245
"industry","10_Information and communication","finaldemand","71_Consumption expenditure outside households (column)",161417
"industry","11_Public administration","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","12_Services","finaldemand","71_Consumption expenditure outside households (column)",9815026
"industry","13_Activities not elsewhere classified","finaldemand","71_Consumption expenditure outside households (column)",0
"industry","01_Agriculture,forestry and fishery","finaldemand","72_Consumption expenditure (private)",3389053
"industry","02_Mining","finaldemand","72_Consumption expenditure (private)",-6104
"industry","03_Manufacturing","finaldemand","72_Consumption expenditure (private)",55177632
"industry","04_Construction","finaldemand","72_Consumption expenditure (private)",0
"industry","05_Electricity,gas and water supply","finaldemand","72_Consumption expenditure (private)",8201914
"industry","06_Commerce","finaldemand","72_Consumption expenditure (private)",43597219
"industry","07_Finance and insurance","finaldemand","72_Consumption expenditure (private)",15558156
"industry","08_Real estate","finaldemand","72_Consumption expenditure (private)",59204489
"industry","09_Transport and postal services","finaldemand","72_Consumption expenditure (private)",13784850
"industry","10_Information and communication","finaldemand","72_Consumption expenditure (private)",12722940
"industry","11_Public administration","finaldemand","72_Consumption expenditure (private)",1115155
"industry","12_Services","finaldemand","72_Consumption expenditure (private)",70057277
"industry","13_Activities not elsewhere classified","finaldemand","72_Consumption expenditure (private)",18864
"industry","01_Agriculture,forestry and fishery","finaldemand","73_Consumption expenditure of general government",0
"industry","02_Mining","finaldemand","73_Consumption expenditure of general government",0
"industry","03_Manufacturing","finaldemand","73_Consumption expenditure of general government",242889
"industry","04_Construction","finaldemand","73_Consumption expenditure of general government",0
"industry","05_Electricity,gas and water supply","finaldemand","73_Consumption expenditure of general government",-261415
"industry","06_Commerce","finaldemand","73_Consumption expenditure of general government",9758
"industry","07_Finance and insurance","finaldemand","73_Consumption expenditure of general government",0
"industry","08_Real estate","finaldemand","73_Consumption expenditure of general government",61313
"industry","09_Transport and postal services","finaldemand","73_Consumption expenditure of general government",-53198
"industry","10_Information and communication","finaldemand","73_Consumption expenditure of general government",35795
"industry","11_Public administration","finaldemand","73_Consumption expenditure of general government",37153473
"industry","12_Services","finaldemand","73_Consumption expenditure of general government",61547852
"industry","13_Activities not elsewhere classified","finaldemand","73_Consumption expenditure of general government",0
"industry","01_Agriculture,forestry and fishery","finaldemand","74_Gross domestic fixed capital formation",168260
"industry","02_Mining","finaldemand","74_Gross domestic fixed capital formation",-6977
"industry","03_Manufacturing","finaldemand","74_Gross domestic fixed capital formation",31026686
"industry","04_Construction","finaldemand","74_Gross domestic fixed capital formation",42741258
"industry","05_Electricity,gas and water supply","finaldemand","74_Gross domestic fixed capital formation",0
"industry","06_Commerce","finaldemand","74_Gross domestic fixed capital formation",6388151
"industry","07_Finance and insurance","finaldemand","74_Gross domestic fixed capital formation",0
"industry","08_Real estate","finaldemand","74_Gross domestic fixed capital formation",0
"industry","09_Transport and postal services","finaldemand","74_Gross domestic fixed capital formation",661230
"industry","10_Information and communication","finaldemand","74_Gross domestic fixed capital formation",8217008
"industry","11_Public administration","finaldemand","74_Gross domestic fixed capital formation",0
"industry","12_Services","finaldemand","74_Gross domestic fixed capital formation",2188790
"industry","13_Activities not elsewhere classified","finaldemand","74_Gross domestic fixed capital formation",0
"industry","01_Agriculture,forestry and fishery","finaldemand","76_Increase in stocks",246810
"industry","02_Mining","finaldemand","76_Increase in stocks",-42044
"industry","03_Manufacturing","finaldemand","76_Increase in stocks",598327
"industry","04_Construction","finaldemand","76_Increase in stocks",0
"industry","05_Electricity,gas and water supply","finaldemand","76_Increase in stocks",0
"industry","06_Commerce","finaldemand","76_Increase in stocks",150652
"industry","07_Finance and insurance","finaldemand","76_Increase in stocks",0
"industry","08_Real estate","finaldemand","76_Increase in stocks",0
"industry","09_Transport and postal services","finaldemand","76_Increase in stocks",37890
"industry","10_Information and communication","finaldemand","76_Increase in stocks",-11809
"industry","11_Public administration","finaldemand","76_Increase in stocks",0
"industry","12_Services","finaldemand","76_Increase in stocks",0
"industry","13_Activities not elsewhere classified","finaldemand","76_Increase in stocks",0
"industry","01_Agriculture,forestry and fishery","finaldemand","77_Balancing sector",2333
"industry","02_Mining","finaldemand","77_Balancing sector",1735
"industry","03_Manufacturing","finaldemand","77_Balancing sector",1557187
"industry","04_Construction","finaldemand","77_Balancing sector",0
"industry","05_Electricity,gas and water supply","finaldemand","77_Balancing sector",0
"industry","06_Commerce","finaldemand","77_Balancing sector",0
"industry","07_Finance and insurance","finaldemand","77_Balancing sector",0
"industry","08_Real estate","finaldemand","77_Balancing sector",0
"industry","09_Transport and postal services","finaldemand","77_Balancing sector",0
"industry","10_Information and communication","finaldemand","77_Balancing sector",724
"industry","11_Public administration","finaldemand","77_Balancing sector",0
"industry","12_Services","finaldemand","77_Balancing sector",1334
"industry","13_Activities not elsewhere classified","finaldemand","77_Balancing sector",0
"industry","01_Agriculture,forestry and fishery","export","81_Exports total",47890
"industry","02_Mining","export","81_Exports total",35575
"industry","03_Manufacturing","export","81_Exports total",54437698
"industry","04_Construction","export","81_Exports total",0
"industry","05_Electricity,gas and water supply","export","81_Exports total",35308
"industry","06_Commerce","export","81_Exports total",7591509
"industry","07_Finance and insurance","export","81_Exports total",838222
"industry","08_Real estate","export","81_Exports total",21813
"industry","09_Transport and postal services","export","81_Exports total",5759487
"industry","10_Information and communication","export","81_Exports total",289726
"industry","11_Public administration","export","81_Exports total",0
"industry","12_Services","export","81_Exports total",1883659
"industry","13_Activities not elsewhere classified","export","81_Exports total",3693
"industry","01_Agriculture,forestry and fishery","import","84_(less) Imports",-2403086
"industry","02_Mining","import","84_(less) Imports",-21672797
"industry","03_Manufacturing","import","84_(less) Imports",-44158980
"industry","04_Construction","import","84_(less) Imports",0
"industry","05_Electricity,gas and water supply","import","84_(less) Imports",-2129
"industry","06_Commerce","import","84_(less) Imports",-988900
"industry","07_Finance and insurance","import","84_(less) Imports",-906647
"industry","08_Real estate","import","84_(less) Imports",-1666
"industry","09_Transport and postal services","import","84_(less) Imports",-3462459
"industry","10_Information and communication","import","84_(less) Imports",-713235
"industry","11_Public administration","import","84_(less) Imports",0
"industry","12_Services","import","84_(less) Imports",-2804935
"industry","13_Activities not elsewhere classified","import","84_(less) Imports",-39537
"industry","01_Agriculture,forestry and fishery","import","85_(less) Custom duties",-37758
"industry","02_Mining","import","85_(less) Custom duties",-7
"industry","03_Manufacturing","import","85_(less) Custom duties",-794936
"industry","04_Construction","import","85_(less) Custom duties",0
"industry","05_Electricity,gas and water supply","import","85_(less) Custom duties",0
"industry","06_Commerce","import","85_(less) Custom duties",0
"industry","07_Finance and insurance","import","85_(less) Custom duties",0
"industry","08_Real estate","import","85_(less) Custom duties",0
"industry","09_Transport and postal services","import","85_(less) Custom duties",0
"industry","10_Information and communication","import","85_(less) Custom duties",0
"industry","11_Public administration","import","85_(less) Custom duties",0
"industry","12_Services","import","85_(less) Custom duties",0
"industry","13_Activities not elsewhere classified","import","85_(less) Custom duties",0
"industry","01_Agriculture,forestry and fishery","import","86_(less) Commodity taxes on imported goods",-121965
"industry","02_Mining","import","86_(less) Commodity taxes on imported goods",-1636792
"industry","03_Manufacturing","import","86_(less) Commodity taxes on imported goods",-3410203
"industry","04_Construction","import","86_(less) Commodity taxes on imported goods",0
"industry","05_Electricity,gas and water supply","import","86_(less) Commodity taxes on imported goods",0
"industry","06_Commerce","import","86_(less) Commodity taxes on imported goods",0
"industry","07_Finance and insurance","import","86_(less) Commodity taxes on imported goods",0
"industry","08_Real estate","import","86_(less) Commodity taxes on imported goods",0
"industry","09_Transport and postal services","import","86_(less) Commodity taxes on imported goods",0
"industry","10_Information and communication","import","86_(less) Commodity taxes on imported goods",-1921
"industry","11_Public administration","import","86_(less) Commodity taxes on imported goods",0
"industry","12_Services","import","86_(less) Commodity taxes on imported goods",-124
"industry","13_Activities not elsewhere classified","import","86_(less) Commodity taxes on imported goods",0
